Frase,Autor,Cat1,Cat2,Cat3,Cat4
"Todos los problemas tienen la misma raíz: el miedo, que desaparece gracias al amor; pero el amor nos da miedo.",Anónimo,CUALIDADES,BELLEZA,,
"Hay que ser infiel, pero nunca desleal.",Gabriel García Márquez (1927-2014) Escritor colombiano.,SOCIEDAD,EDUCACIÓN,APRENDER,
Mira dos veces para ver lo justo. No mires más que una vez para ver lo bello.,Henry F. Amiel (1821-1881) Escritor suizo.,CUALIDADES,ESFUERZO,,
"Dime y lo olvido, enséñame y lo recuerdo, involúcrame y lo aprendo.",Benjamin Franklin (1706-1790) Estadista y científico estadounidense.,SENTIMIENTOS,FELICIDAD,,
Nuestra recompensa se encuentra en el esfuerzo y no en el resultado. Un esfuerzo total es una victoria completa.,Mahatma Gandhi (1869-1948) Político y pensador indio.,PENSAMIENTO Y RAZÓN,SUEÑOS,,
"Buscamos la felicidad, pero sin saber dónde, como los borrachos buscan su casa, sabiendo que tienen una.",Voltaire (1694-1778) Filósofo y escritor francés.,SENTIMIENTOS,SOLEDAD,,
"Si has construido castillos en el aire, tu trabajo no se pierde; ahora coloca las bases debajo de ellos.","Henry David Thoreau (1817-1862) Escritor, poeta y pensador.",CUALIDADES,SABIDURÍA,,
"La soledad se admira y desea cuando no se sufre, pero la necesidad humana de compartir cosas es evidente.",Carmen Martín Gaite (1925-2000) Novelista española,TIEMPO,,,
"El sabio puede sentarse en un hormiguero, pero sólo el necio se queda sentado en él.",Proverbio chino,MISCELÁNEA,ÉXITO,,
El tiempo es el mejor autor: siempre encuentra un final perfecto.,Charles Chaplin (1889-1977) Actor y director británico.,MISCELÁNEA,ACCIÓN,,
"El éxito consiste en obtener lo que se desea. La felicidad, en disfrutar lo que se obtiene.",Emerson (1803-1882) Poeta y pensador estadounidense.,SENTIMIENTOS,VENGANZA,,
"Cada uno de los movimientos de todos los individuos se realizan por tres únicas razones: por honor, por dinero o por amor.",Napoleón I (1769-1821) Napoleón Bonaparte. Emperador francés.,CUALIDADES,VOLUNTAD,,
"Yo no hablo de venganzas ni perdones, el olvido es la única venganza y el único perdón.",Jorge Luis Borges (1899-1986) Escritor argentino.,CUALIDADES,REBELDÍA,,
"Hay una fuerza motriz más poderosa que el vapor, la electricidad y la energía atómica: la voluntad.",Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,NATURALEZA,MUERTE,,
"Cuando los que mandan pierden la vergüenza, los que obedecen pierden el respeto.",Cardenal de Retz (1613-1679) Político y memorialista francés.,SENTIMIENTOS,AMISTAD,,
"Así como una jornada bien empleada produce un dulce sueño, así una vida bien usada causa una dulce muerte.","Leonardo Da Vinci (1452-1519) Pintor, escultor e inventor italiano.",SENTIMIENTOS,AMOR,CORAZÓN,
"El amigo leal se ríe con tus chistes, aunque no sean tan buenos, y se conduele de tus problemas aunque no sean tan graves.",Arnold H. Glasow,SENTIMIENTOS,AMOR,PASIÓN,
El corazón es un niño: espera lo que desea.,Proverbio ruso,MISCELÁNEA,CAMBIO,,
"Si la pasión, si la locura no pasaran alguna vez por las almas… ¿Qué valdría la vida?",Jacinto Benavente (1866-1954) Dramaturgo español.,MISCELÁNEA,OPOSICIÓN,,
"Todos los cambios, aun los más ansiados, llevan consigo cierta melancolía.",Anatole France (1844-1924) Escritor francés.,TIEMPO,JUVENTUD,,
Los grandes espíritus siempre han encontrado una violenta oposición de parte de mentes mediocres.,Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,SENTIMIENTOS,AMOR,PASIÓN,
"La gente joven está convencida de que posee la verdad. Desgraciadamente, cuando logran imponerla ya ni son jóvenes ni es verdad.",Jaume Perich (1941-1995) Humorista español.,SENTIMIENTOS,AMOR,ENAMORARSE,
